vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount,puYear,puMonth
VTS,2012-03-09T21:52:00.000+0000,2012-03-09T22:01:00.000+0000,1,0.95,null,null,-73.991157,40.755915,-73.977587,40.755448,1,null,CRD,6.1,0.5,0.5,null,1.32,0,8.42,2012,3
VTS,2012-03-24T22:26:00.000+0000,2012-03-24T22:37:00.000+0000,2,1.11,null,null,-73.991798,40.74818,-73.988662,40.737013,1,null,CSH,6.9,0.5,0.5,null,0,0,7.9,2012,3
CMT,2012-03-04T10:07:46.000+0000,2012-03-04T10:26:37.000+0000,2,5.2,null,null,-73.974787,40.753384,-73.957854,40.717621,1,N,CRD,15.7,0,0.5,null,3.24,0,19.44,2012,3
VTS,2012-03-20T15:18:00.000+0000,2012-03-20T15:28:00.000+0000,5,2.3,null,null,-73.957702,40.781208,-73.969328,40.803227,1,null,CSH,8.1,0,0.5,null,0,0,8.6,2012,3
CMT,2012-03-01T06:54:30.000+0000,2012-03-01T06:59:40.000+0000,1,0.8,null,null,-73.988199,40.748445,-73.978204,40.752414,1,N,CRD,4.9,0,0.5,null,1,0,6.4,2012,3
VTS,2012-03-08T18:13:00.000+0000,2012-03-08T18:15:00.000+0000,5,0.29,null,null,-73.981162,40.74471,-73.983845,40.743302,1,null,CSH,3.3,1,0.5,null,0,0,4.8,2012,3
VTS,2012-03-16T19:53:00.000+0000,2012-03-16T20:09:00.000+0000,2,4.26,null,null,-74.01021,40.71888,-73.989728,40.701593,1,null,CRD,13.3,1,0.5,null,2.86,0,17.66,2012,3
VTS,2012-03-22T19:08:00.000+0000,2012-03-22T19:17:00.000+0000,3,0.75,null,null,-73.973725,40.764362,-73.972452,40.756593,1,null,CRD,5.7,1,0.5,null,0,0,7.2,2012,3
VTS,2012-03-05T15:05:00.000+0000,2012-03-05T15:12:00.000+0000,5,0.67,null,null,-73.980737,40.745038,-73.991477,40.74932,1,null,CRD,5.3,0,0.5,null,1.32,0,7.12,2012,3
VTS,2012-03-17T15:05:00.000+0000,2012-03-17T15:10:00.000+0000,1,1.02,null,null,-73.96762,40.787727,-73.978312,40.778007,1,null,CRD,4.9,0,0.5,null,0.98,0,6.38,2012,3
VTS,2012-03-14T13:32:00.000+0000,2012-03-14T13:40:00.000+0000,1,1.08,null,null,-73.995962,40.748702,-73.986812,40.761027,1,null,CRD,6.1,0,0.5,null,1.22,0,7.82,2012,3
VTS,2012-03-13T17:40:00.000+0000,2012-03-13T17:46:00.000+0000,1,0.13,null,null,-73.97337,40.75095,-73.96407,40.764965,1,null,CRD,5.7,1,0.5,null,2,0,9.2,2012,3
CMT,2012-03-02T18:22:43.000+0000,2012-03-02T18:29:00.000+0000,1,1.3,null,null,-73.965255,40.770081,-73.971252,40.754376,1,N,CRD,6.1,1,0.5,null,1.52,0,9.12,2012,3
VTS,2012-03-13T16:00:00.000+0000,2012-03-13T16:07:00.000+0000,1,1.38,null,null,-73.99117,40.760453,-73.995425,40.744917,1,null,CSH,6.1,1,0.5,null,0,0,7.6,2012,3
VTS,2012-03-15T14:15:00.000+0000,2012-03-15T14:29:00.000+0000,1,3.24,null,null,-74.016887,40.71123,-74.00636,40.749587,1,null,CRD,11.3,0,0.5,null,2.26,0,14.06,2012,3
VTS,2012-03-13T02:15:00.000+0000,2012-03-13T02:31:00.000+0000,2,4.3,null,null,-73.981575,40.76343,-73.917532,40.739712,1,null,CRD,12.9,0.5,0.5,null,2.68,0,16.58,2012,3
CMT,2012-03-03T01:50:29.000+0000,2012-03-03T02:00:40.000+0000,2,2.1,null,null,-73.939042,40.805053,-73.962373,40.799967,1,N,CSH,8.1,0.5,0.5,null,0,0,9.1,2012,3
VTS,2012-03-24T00:33:00.000+0000,2012-03-24T00:50:00.000+0000,1,4.1,null,null,-73.991865,40.731977,-73.994557,40.685465,1,null,CRD,12.9,0.5,0.5,null,4.02,0,17.92,2012,3
VTS,2012-03-05T19:15:00.000+0000,2012-03-05T19:21:00.000+0000,1,1.29,null,null,-73.9739,40.754703,-73.959853,40.76239,1,null,CRD,5.3,1,0.5,null,1,0,7.8,2012,3
VTS,2012-03-15T08:18:00.000+0000,2012-03-15T08:22:00.000+0000,5,0.54,null,null,-73.98964,40.741467,-73.990583,40.731317,1,null,CSH,4.5,0,0.5,null,0,0,5,2012,3
VTS,2012-03-15T20:49:00.000+0000,2012-03-15T20:58:00.000+0000,2,0.94,null,null,-73.98319,40.764582,-73.967437,40.757787,1,null,CRD,6.1,0.5,0.5,null,1.32,0,8.42,2012,3
VTS,2012-03-17T08:56:00.000+0000,2012-03-17T09:06:00.000+0000,1,2.02,null,null,-73.994713,40.718672,-73.989355,40.739472,1,null,CRD,8.1,0,0.5,null,1,0,9.6,2012,3
VTS,2012-03-10T18:19:00.000+0000,2012-03-10T18:29:00.000+0000,3,0.9,null,null,-73.997242,40.722095,-73.986782,40.725725,1,null,CRD,6.9,0,0.5,null,1.38,0,8.78,2012,3
VTS,2012-03-18T19:50:00.000+0000,2012-03-18T19:55:00.000+0000,2,1.8,null,null,-73.965687,40.754652,-73.956972,40.774927,1,null,CRD,6.1,0,0.5,null,1.4,0,8,2012,3
CMT,2012-03-03T21:12:00.000+0000,2012-03-03T21:23:48.000+0000,1,3.7,null,null,-73.992349,40.743728,-73.969313,40.787805,1,N,CRD,11.3,0.5,0.5,null,2.46,0,14.76,2012,3
VTS,2012-03-16T15:29:00.000+0000,2012-03-16T15:37:00.000+0000,5,1.48,null,null,-73.997862,40.72255,-73.982127,40.7329,1,null,CSH,6.5,0,0.5,null,0,0,7,2012,3
VTS,2012-03-07T22:43:00.000+0000,2012-03-07T22:47:00.000+0000,1,0.59,null,null,-73.980428,40.754192,-73.986967,40.74888,1,null,CRD,4.5,0.5,0.5,null,1,0,6.5,2012,3
VTS,2012-03-20T21:13:00.000+0000,2012-03-20T21:21:00.000+0000,1,1.79,null,null,-73.987035,40.739382,-73.970167,40.754192,1,null,CSH,6.9,0.5,0.5,null,0,0,7.9,2012,3
VTS,2012-03-05T10:48:00.000+0000,2012-03-05T10:49:00.000+0000,2,0.46,null,null,-73.99454,40.734752,-73.998552,40.732147,1,null,CSH,3.3,0,0.5,null,0,0,3.8,2012,3
VTS,2012-03-13T10:42:00.000+0000,2012-03-13T10:50:00.000+0000,2,1.56,null,null,-73.971722,40.762998,-73.962028,40.779523,1,null,CSH,6.9,0,0.5,null,0,0,7.4,2012,3
VTS,2012-03-07T21:05:00.000+0000,2012-03-07T21:13:00.000+0000,1,1.84,null,null,-73.977892,40.742108,-74.00604,40.748583,1,null,CSH,7.7,0.5,0.5,null,0,0,8.7,2012,3
VTS,2012-03-16T22:01:00.000+0000,2012-03-16T22:17:00.000+0000,1,2.69,null,null,-73.981832,40.746422,-73.987505,40.71827,1,null,CRD,10.9,0.5,0.5,null,2.28,0,14.18,2012,3
VTS,2012-03-06T08:16:00.000+0000,2012-03-06T08:30:00.000+0000,1,3.08,null,null,-73.996072,40.732647,-74.014622,40.704552,1,null,CSH,10.9,0,0.5,null,0,0,11.4,2012,3
VTS,2012-03-17T14:27:00.000+0000,2012-03-17T14:34:00.000+0000,2,1.38,null,null,-73.9879,40.724093,-73.98212,40.740092,1,null,CSH,6.5,0,0.5,null,0,0,7,2012,3
VTS,2012-03-12T20:57:00.000+0000,2012-03-12T21:02:00.000+0000,1,1.21,null,null,-73.974035,40.763927,-73.967085,40.752963,1,null,CRD,5.3,0.5,0.5,null,1.16,0,7.46,2012,3
VTS,2012-03-14T18:10:00.000+0000,2012-03-14T18:34:00.000+0000,5,8.95,null,null,-73.975353,40.745328,-73.861523,40.768248,1,null,CSH,22.1,1,0.5,null,0,0,23.6,2012,3
VTS,2012-03-02T22:18:00.000+0000,2012-03-02T22:26:00.000+0000,1,1.47,null,null,-73.976453,40.77563,-73.961552,40.780317,1,null,CRD,6.9,0.5,0.5,null,1,0,8.9,2012,3
VTS,2012-03-13T19:42:00.000+0000,2012-03-13T19:51:00.000+0000,1,1.85,null,null,-73.980492,40.783218,-73.954122,40.77874,1,null,CSH,7.3,1,0.5,null,0,0,8.8,2012,3
VTS,2012-03-08T17:17:00.000+0000,2012-03-08T17:43:00.000+0000,2,10.16,null,null,-74.22759,40.701515,-74.250083,40.730832,1,null,CSH,24.9,1,0.5,null,0,0,26.4,2012,3
VTS,2012-03-24T00:52:00.000+0000,2012-03-24T00:59:00.000+0000,5,1.42,null,null,-73.956168,40.71414,-73.941028,40.70462,1,null,CRD,6.1,0.5,0.5,null,1.32,0,8.42,2012,3
CMT,2012-03-04T13:20:29.000+0000,2012-03-04T13:26:21.000+0000,1,1.2,null,null,-73.962038,40.763601,-73.975183,40.752094,1,N,CSH,5.3,0,0.5,null,0,0,5.8,2012,3
VTS,2012-03-15T09:38:00.000+0000,2012-03-15T10:12:00.000+0000,5,8.61,null,null,-73.969985,40.799667,-74.008807,40.704112,1,null,CRD,24.5,0,0.5,null,4.9,0,29.9,2012,3
VTS,2012-03-13T21:04:00.000+0000,2012-03-13T21:10:00.000+0000,1,2.37,null,null,-74.003515,40.73872,-73.990523,40.766517,1,null,CSH,7.3,0.5,0.5,null,0,0,8.3,2012,3
VTS,2012-03-17T22:58:00.000+0000,2012-03-17T23:19:00.000+0000,5,9.43,null,null,-73.984828,40.736427,-73.842442,40.719242,1,null,CSH,23.3,0.5,0.5,null,0,4.8,29.1,2012,3
VTS,2012-03-02T05:41:00.000+0000,2012-03-02T05:47:00.000+0000,5,1.53,null,null,-73.993707,40.745857,-73.990022,40.763065,1,null,CSH,6.1,0.5,0.5,null,0,0,7.1,2012,3
VTS,2012-03-21T01:05:00.000+0000,2012-03-21T01:17:00.000+0000,1,2.97,null,null,-74.00425,40.75179,-73.990995,40.72364,1,null,CSH,10.1,0.5,0.5,null,0,0,11.1,2012,3
VTS,2012-03-09T12:52:00.000+0000,2012-03-09T13:04:00.000+0000,1,2.31,null,null,-73.973057,40.782643,-73.973098,40.756878,1,null,CRD,8.9,0,0.5,null,1.5,0,10.9,2012,3
VTS,2012-03-23T09:18:00.000+0000,2012-03-23T09:20:00.000+0000,6,0.51,null,null,-73.977432,40.764497,-73.980665,40.767655,1,null,CSH,3.7,0,0.5,null,0,0,4.2,2012,3
VTS,2012-03-07T07:21:00.000+0000,2012-03-07T07:27:00.000+0000,1,1.45,null,null,-73.98228,40.740068,-73.98446,40.75477,1,null,CRD,5.7,0,0.5,null,1,0,7.2,2012,3
VTS,2012-03-19T18:17:00.000+0000,2012-03-19T18:31:00.000+0000,1,1.31,null,null,-73.964338,40.76398,-73.97914,40.755048,1,null,CRD,8.1,1,0.5,null,1,0,10.6,2012,3
CMT,2012-03-02T10:18:41.000+0000,2012-03-02T10:29:32.000+0000,1,1.9,null,null,-73.98149,40.778176,-73.95774,40.781628,1,N,CRD,8.5,0,0.5,null,1.8,0,10.8,2012,3
VTS,2012-03-16T01:32:00.000+0000,2012-03-16T01:49:00.000+0000,5,3.02,null,null,-73.980033,40.726677,-74.003242,40.747073,1,null,CSH,11.3,0.5,0.5,null,0,0,12.3,2012,3
VTS,2012-03-13T19:58:00.000+0000,2012-03-13T20:17:00.000+0000,6,3.54,null,null,-74.005833,40.715432,-73.989623,40.757145,1,null,CRD,12.5,1,0.5,null,1,0,15,2012,3
VTS,2012-03-25T16:58:00.000+0000,2012-03-25T17:08:00.000+0000,1,1.38,null,null,0,0,0,0,1,null,CRD,7.3,0,0.5,null,1.82,0,9.62,2012,3
VTS,2012-03-07T16:23:00.000+0000,2012-03-07T16:37:00.000+0000,1,1.85,null,null,-73.972928,40.785318,-73.972298,40.76546,1,null,CSH,9.3,1,0.5,null,0,0,10.8,2012,3
VTS,2012-03-16T23:02:00.000+0000,2012-03-16T23:17:00.000+0000,2,8.02,null,null,-73.874308,40.773863,-73.975778,40.752295,1,null,CSH,19.3,0.5,0.5,null,0,0,20.3,2012,3
VTS,2012-03-10T00:30:00.000+0000,2012-03-10T00:43:00.000+0000,6,5.55,null,null,-73.980555,40.75344,-73.955472,40.80939,1,null,CSH,14.5,0.5,0.5,null,0,0,15.5,2012,3
VTS,2012-03-17T16:03:00.000+0000,2012-03-17T16:07:00.000+0000,1,0.64,null,null,-73.97126,40.753792,-73.971825,40.760372,1,null,CRD,4.1,0,0.5,null,0.82,0,5.42,2012,3
VTS,2012-03-14T22:37:00.000+0000,2012-03-14T23:01:00.000+0000,1,9.4,null,null,-73.990097,40.68734,-73.952128,40.778967,1,null,CRD,24.1,0.5,0.5,null,4.92,0,30.02,2012,3
VTS,2012-03-13T17:58:00.000+0000,2012-03-13T18:05:00.000+0000,5,1.24,null,null,-73.95182,40.809432,-73.96173,40.801307,1,null,CRD,6.5,1,0.5,null,0,0,8,2012,3
VTS,2012-03-06T18:09:00.000+0000,2012-03-06T18:25:00.000+0000,5,2,null,null,-73.980825,40.784832,-73.966832,40.766615,1,null,CRD,9.7,1,0.5,null,2.14,0,13.34,2012,3
VTS,2012-03-18T01:37:00.000+0000,2012-03-18T01:59:00.000+0000,1,6.61,null,null,-73.993942,40.726915,-73.966317,40.804492,1,null,CRD,17.7,0.5,0.5,null,2.3,0,21,2012,3
VTS,2012-03-16T08:11:00.000+0000,2012-03-16T08:21:00.000+0000,2,1.34,null,null,-73.955553,40.776787,-73.955553,40.776787,1,null,CRD,6.9,0,0.5,null,1.72,0,9.12,2012,3
VTS,2012-03-12T11:33:00.000+0000,2012-03-12T11:37:00.000+0000,5,0.83,null,null,-73.980527,40.751295,-73.990073,40.75731,1,null,CSH,4.5,0,0.5,null,0,0,5,2012,3
VTS,2012-03-08T13:52:00.000+0000,2012-03-08T13:59:00.000+0000,3,1.32,null,null,-73.978582,40.762302,-73.991445,40.760025,1,null,CRD,6.1,0,0.5,null,1.22,0,7.82,2012,3
VTS,2012-03-20T13:08:00.000+0000,2012-03-20T13:20:00.000+0000,1,1.54,null,null,-73.998865,40.76453,-73.975818,40.756595,1,null,CSH,7.7,0,0.5,null,0,0,8.2,2012,3
VTS,2012-03-07T21:14:00.000+0000,2012-03-07T21:35:00.000+0000,1,11.66,null,null,-74.00055,40.720975,-73.938343,40.828732,1,null,CRD,26.9,0.5,0.5,null,4,0,31.9,2012,3
VTS,2012-03-14T11:41:00.000+0000,2012-03-14T11:52:00.000+0000,2,0.84,null,null,-73.985403,40.744208,-73.991245,40.752155,1,null,CSH,6.9,0,0.5,null,0,0,7.4,2012,3
VTS,2012-03-05T14:32:00.000+0000,2012-03-05T14:41:00.000+0000,3,0.69,null,null,-74.006593,40.73663,-74.003337,40.731332,1,null,CRD,5.7,0,0.5,null,1.14,0,7.34,2012,3
